word_count,char_count,char_div4
5,24,6.0
133,953,238.25
312,1589,397.25
158,970,242.5
138,756,189.0
7,32,8.0
83,457,114.25
98,573,143.25
150,935,233.75
210,1365,341.25
163,1022,255.5
142,748,187.0
2,40,10.0
2,40,10.0
37,197,49.25
49,304,76.0
69,419,104.75
73,483,120.75
141,689,172.25
4,31,7.75
3,14,3.5
7,38,9.5
123,957,239.25
43,249,62.25
134,768,192.0
145,818,204.5
111,507,126.75
177,980,245.0
34,170,42.5
92,488,122.0
66,712,178.0
178,1070,267.5
199,1192,298.0
8,41,10.25
17,110,27.5
25,123,30.75
33,166,41.5
10,67,16.75
24,145,36.25
26,149,37.25
27,163,40.75
35,198,49.5
43,254,63.5
293,1971,492.75
241,1646,411.5
242,1627,406.75
288,1854,463.5
114,730,182.5
98,684,171.0
1,3,0.75
172,1076,269.0
234,1420,355.0
254,1556,389.0
218,1272,318.0
158,885,221.25
242,1446,361.5
380,2207,551.75
342,2070,517.5
214,1227,306.75
165,1120,280.0
219,1494,373.5
334,2290,572.5
304,1989,497.25
12,65,16.25
126,679,169.75
213,1472,368.0
338,2046,511.5
30,160,40.0
111,628,157.0
281,1935,483.75
90,497,124.25
41,1507,376.75
42,308,77.0
79,461,115.25
98,615,153.75
365,2566,641.5
67,382,95.5
71,420,105.0
8,38,9.5
17,110,27.5
198,1295,323.75
93,679,169.75
125,906,226.5
21,116,29.0
93,565,141.25
26,149,37.25
30,142,35.5
147,903,225.75
95,582,145.5
261,1471,367.75
228,1355,338.75
300,1992,498.0
175,982,245.5
175,982,245.5
104,573,143.25
289,1830,457.5
120,699,174.75
162,994,248.5
65,432,108.0
392,2715,678.75
7,29,7.25
39,255,63.75
7,29,7.25
48,303,75.75
98,541,135.25
15,80,20.0
23,138,34.5
185,1039,259.75
195,1121,280.25
180,1180,295.0
235,1773,443.25
214,1338,334.5
343,1839,459.75
491,2746,686.5
177,1187,296.75
282,1999,499.75
254,1860,465.0
74,464,116.0
300,1600,400.0
188,1145,286.25
68,338,84.5
46,276,69.0
49,257,64.25
98,598,149.5
14,87,21.75
217,1382,345.5
52,304,76.0
1,8,2.0
20,112,28.0
147,917,229.25
7,32,8.0
6,28,7.0
104,688,172.0
11,54,13.5
22,121,30.25
30,172,43.0
60,331,82.75
192,1206,301.5
244,1247,311.75
20,108,27.0
4,28,7.0
12,61,15.25
121,770,192.5
171,960,240.0
57,291,72.75
449,2789,697.25
311,1662,415.5
71,421,105.25
4,29,7.25
12,128,32.0
243,1316,329.0
129,782,195.5
153,904,226.0
121,748,187.0
131,770,192.5
168,1025,256.25
136,804,201.0
179,1129,282.25
60,333,83.25
108,644,161.0
57,333,83.25
134,657,164.25
117,654,163.5
33,198,49.5
133,831,207.75
102,587,146.75
113,708,177.0
93,555,138.75
128,797,199.25
154,833,208.25
148,841,210.25
113,766,191.5
220,1359,339.75
156,1020,255.0
11,57,14.25
2,10,2.5
91,529,132.25
162,895,223.75
84,374,93.5
96,417,104.25
88,396,99.0
37,162,40.5
18,84,21.0
4,23,5.75
48,239,59.75
64,282,70.5
34,174,43.5
37,195,48.75
39,203,50.75
83,410,102.5
115,781,195.25
43,269,67.25
8,50,12.5
80,463,115.75
74,451,112.75
14,73,18.25
28,140,35.0
23,127,31.75
34,191,47.75
28,140,35.0
85,499,124.75
204,1176,294.0
204,1054,263.5
175,1017,254.25
265,1521,380.25
286,1619,404.75
132,739,184.75
31,199,49.75
46,225,56.25
47,318,79.5
241,1302,325.5
238,1298,324.5
211,1326,331.5
9,73,18.25
21,130,32.5
18,101,25.25
101,641,160.25
193,1111,277.75
368,2129,532.25
290,1581,395.25
310,1912,478.0
275,2253,563.25
107,881,220.25
392,2417,604.25
190,1081,270.25
46,247,61.75
46,288,72.0
4,25,6.25
148,982,245.5
11,56,14.0
152,1081,270.25
55,330,82.5
237,1362,340.5
1,2,0.5
264,1550,387.5
84,550,137.5
220,1342,335.5
193,1178,294.5
100,595,148.75
99,586,146.5
247,1381,345.25
248,1658,414.5
55,359,89.75
51,389,97.25
96,538,134.5
50,311,77.75
36,218,54.5
39,241,60.25
7,32,8.0
68,517,129.25
91,718,179.5
19,97,24.25
221,1238,309.5
44,269,67.25
77,473,118.25
178,1051,262.75
187,1163,290.75
197,1152,288.0
206,1152,288.0
198,1385,346.25
168,945,236.25
148,795,198.75
66,385,96.25
65,444,111.0
178,1107,276.75
51,328,82.0
250,1637,409.25
6,43,10.75
53,318,79.5
20,103,25.75
263,1795,448.75
132,1160,290.0
22,131,32.75
19,94,23.5
19,101,25.25
300,1961,490.25
186,1110,277.5
225,1346,336.5
49,318,79.5
20,126,31.5
85,560,140.0
114,685,171.25
119,801,200.25
238,1416,354.0
236,1265,316.25
275,2030,507.5
311,1895,473.75
353,2133,533.25
257,1557,389.25
32,143,35.75
155,1534,383.5
160,1509,377.25
2,59,14.75
54,290,72.5
238,1418,354.5
72,417,104.25
7,53,13.25
7,50,12.5
6,34,8.5
43,269,67.25
20,106,26.5
136,880,220.0
1,7,1.75
132,977,244.25
97,658,164.5
48,308,77.0
56,350,87.5
6,27,6.75
52,263,65.75
1,3,0.75
169,931,232.75
165,916,229.0
158,868,217.0
120,681,170.25
20,109,27.25
373,2088,522.0
18,98,24.5
2,11,2.75
7,33,8.25
6,23,5.75
14,63,15.75
1,199,49.75
45,289,72.25
247,1545,386.25
3,15,3.75
4,25,6.25
174,913,228.25
48,308,77.0
14,70,17.5
107,649,162.25
39,246,61.5
1,1,0.25
11,57,14.25
119,788,197.0
309,1828,457.0
7,39,9.75
169,1065,266.25
133,747,186.75
22,132,33.0
508,3056,764.0
9,44,11.0
10,50,12.5
17,77,19.25
29,160,40.0
4,21,5.25
18,107,26.75
168,1007,251.75
16,88,22.0
9,47,11.75
193,1145,286.25
130,835,208.75
7,34,8.5
299,1780,445.0
248,1438,359.5
7,32,8.0
247,1450,362.5
1,5,1.25
26,136,34.0
215,1600,400.0
34,143,35.75
10,50,12.5
7,34,8.5
229,1324,331.0
206,1170,292.5
105,625,156.25
169,887,221.75
53,343,85.75
331,2065,516.25
98,706,176.5
97,707,176.75
92,503,125.75
4,18,4.5
149,870,217.5
41,251,62.75
210,1188,297.0
154,899,224.75
157,914,228.5
157,923,230.75
156,926,231.5
156,924,231.0
156,928,232.0
156,933,233.25
366,2059,514.75
140,833,208.25
6,33,8.25
35,246,61.5
51,323,80.75
43,248,62.0
65,376,94.0
125,661,165.25
108,780,195.0
112,788,197.0
164,1088,272.0
339,2120,530.0
6,41,10.25
130,966,241.5
98,599,149.75
98,669,167.25
215,1275,318.75
21,112,28.0
121,693,173.25
255,1453,363.25
425,2434,608.5
18,117,29.25
10,50,12.5
152,800,200.0
32,168,42.0
164,894,223.5
61,315,78.75
58,289,72.25
55,279,69.75
42,221,55.25
50,243,60.75
37,210,52.5
137,1613,403.25
525,3570,892.5
75,434,108.5
83,482,120.5
135,819,204.75
311,2443,610.75
39,219,54.75
67,365,91.25
204,1247,311.75
14,85,21.25
158,824,206.0
284,1590,397.5
81,436,109.0
52,316,79.0
51,298,74.5
98,637,159.25
98,637,159.25
425,2737,684.25
13,56,14.0
145,866,216.5
235,1442,360.5
1,5,1.25
48,242,60.5
54,291,72.75
43,231,57.75
143,863,215.75
74,651,162.75
146,1497,374.25
1,1,0.25
8,52,13.0
21,143,35.75
5,51,12.75
10,66,16.5
7,42,10.5
7,42,10.5
7,42,10.5
9,59,14.75
9,52,13.0
2,16,4.0
105,444,111.0
272,1869,467.25
329,1993,498.25
265,1558,389.5
29,156,39.0
78,451,112.75
45,256,64.0
66,348,87.0
197,1605,401.25
235,1867,466.75
29,156,39.0
129,772,193.0
5,29,7.25
184,1080,270.0
89,468,117.0
38,211,52.75
7,31,7.75
8,53,13.25
85,462,115.5
260,1482,370.5
46,272,68.0
6,21,5.25
139,957,239.25
191,1145,286.25
86,540,135.0
95,578,144.5
273,1514,378.5
189,1157,289.25
192,1334,333.5
39,205,51.25
34,179,44.75
196,1020,255.0
219,1177,294.25
67,409,102.25
156,961,240.25
181,1041,260.25
203,1218,304.5
172,1033,258.25
207,1250,312.5
210,1223,305.75
244,1301,325.25
195,1069,267.25
265,1442,360.5
240,1396,349.0
274,1641,410.25
336,1962,490.5
221,1309,327.25
153,938,234.5
157,915,228.75
206,1180,295.0
16,79,19.75
18,114,28.5
116,692,173.0
110,670,167.5
315,1919,479.75
288,1713,428.25
51,358,89.5
142,590,147.5
30,166,41.5
221,1258,314.5
139,1005,251.25
7,31,7.75
42,230,57.5
107,588,147.0
125,707,176.75
121,618,154.5
9,52,13.0
134,685,171.25
127,816,204.0
142,849,212.25
149,952,238.0
200,1086,271.5
202,1312,328.0
171,1170,292.5
192,1217,304.25
192,1291,322.75
222,1629,407.25
260,1841,460.25
9,59,14.75
24,135,33.75
33,188,47.0
15,99,24.75
18,109,27.25
87,534,133.5
91,565,141.25
180,951,237.75
355,2001,500.25
351,1984,496.0
288,1856,464.0
198,1793,448.25
225,2016,504.0
230,1978,494.5
247,1330,332.5
229,1256,314.0
74,456,114.0
182,1025,256.25
26,137,34.25
37,297,74.25
294,1604,401.0
332,1800,450.0
182,977,244.25
232,1306,326.5
190,1015,253.75
240,1285,321.25
253,1353,338.25
23,150,37.5
56,304,76.0
6,33,8.25
40,234,58.5
205,1371,342.75
271,1689,422.25
194,1334,333.5
237,1550,387.5
1,1,0.25
1,1,0.25
338,2003,500.75
22,110,27.5
115,684,171.0
336,2036,509.0
178,1153,288.25
24,127,31.75
173,1033,258.25
16,93,23.25
25,129,32.25
29,146,36.5
8,56,14.0
48,304,76.0
39,239,59.75
106,816,204.0
260,1775,443.75
7,32,8.0
64,387,96.75
68,348,87.0
21,128,32.0
112,591,147.75
130,732,183.0
159,838,209.5
102,554,138.5
183,1164,291.0
190,1192,298.0
24,152,38.0
29,197,49.25
241,1593,398.25
69,389,97.25
171,995,248.75
224,1482,370.5
28,146,36.5
57,396,99.0
7,34,8.5
1,1,0.25
29,159,39.75
30,150,37.5
101,560,140.0
5,26,6.5
176,1023,255.75
139,853,213.25
129,822,205.5
219,1397,349.25
8,54,13.5
3,44,11.0
119,682,170.5
120,640,160.0
123,695,173.75
288,1717,429.25
280,1906,476.5
265,1875,468.75
22,108,27.0
46,276,69.0
6,34,8.5
215,1466,366.5
25,148,37.0
194,1453,363.25
153,1192,298.0
6,30,7.5
143,1093,273.25
209,1370,342.5
160,944,236.0
14,87,21.75
136,828,207.0
54,361,90.25
54,361,90.25
242,1519,379.75
29,151,37.75
311,2070,517.5
327,1953,488.25
1,138,34.5
45,252,63.0
19,112,28.0
81,450,112.5
1,49,12.25
107,665,166.25
91,549,137.25
37,198,49.5
169,1009,252.25
175,1023,255.75
168,996,249.0
254,1512,378.0
439,2594,648.5
890,5269,1317.25
251,1498,374.5
156,959,239.75
39,238,59.5
24,148,37.0
26,167,41.75
235,1427,356.75
108,690,172.5
108,728,182.0
130,762,190.5
176,1036,259.0
153,997,249.25
186,1112,278.0
225,1306,326.5
154,978,244.5
13,72,18.0
211,1201,300.25
59,306,76.5
18,124,31.0
154,1063,265.75
159,970,242.5
157,1000,250.0
174,1021,255.25
9,59,14.75
184,1012,253.0
35,195,48.75
89,447,111.75
79,433,108.25
90,464,116.0
77,434,108.5
170,924,231.0
40,216,54.0
97,530,132.5
45,245,61.25
68,370,92.5
69,381,95.25
70,389,97.25
43,233,58.25
53,292,73.0
71,361,90.25
68,371,92.75
38,191,47.75
9,48,12.0
221,1561,390.25
301,2106,526.5
21,122,30.5
15,85,21.25
272,1722,430.5
113,706,176.5
249,1624,406.0
169,1187,296.75
43,222,55.5
44,248,62.0
240,1304,326.0
231,1366,341.5
22,145,36.25
146,992,248.0
1,20,5.0
305,2205,551.25
6,43,10.75
27,165,41.25
175,1172,293.0
132,889,222.25
85,566,141.5
103,672,168.0
321,1775,443.75
1,3,0.75
83,646,161.5
122,868,217.0
30,161,40.25
204,1165,291.25
162,786,196.5
7,38,9.5
214,1506,376.5
88,703,175.75
72,375,93.75
73,458,114.5
67,378,94.5
269,1643,410.75
119,733,183.25
274,1990,497.5
6,38,9.5
37,256,64.0
28,251,62.75
9,55,13.75
96,594,148.5
264,1793,448.25
169,1059,264.75
182,1205,301.25
42,248,62.0
258,1791,447.75
61,385,96.25
9,58,14.5
99,641,160.25
1,1,0.25
134,861,215.25
193,1342,335.5
143,947,236.75
211,1279,319.75
286,1843,460.75
78,490,122.5
88,467,116.75
48,286,71.5
512,3158,789.5
276,1708,427.0
274,1712,428.0
187,1289,322.25
180,996,249.0
152,895,223.75
49,326,81.5
170,1039,259.75
187,1263,315.75
194,1417,354.25
212,1757,439.25
222,1768,442.0
10,77,19.25
1,2,0.5
48,283,70.75
1,5,1.25
94,544,136.0
7,34,8.5
73,417,104.25
101,587,146.75
219,1351,337.75
17,88,22.0
141,826,206.5
151,920,230.0
206,1245,311.25
233,1613,403.25
237,1536,384.0
180,1013,253.25
14,64,16.0
39,220,55.0
44,229,57.25
368,2189,547.25
51,335,83.75
278,1895,473.75
150,874,218.5
127,756,189.0
38,260,65.0
5,26,6.5
20,101,25.25
49,241,60.25
46,259,64.75
67,373,93.25
65,426,106.5
71,487,121.75
62,392,98.0
67,405,101.25
41,239,59.75
54,280,70.0
111,700,175.0
344,2197,549.25
220,1311,327.75
12,60,15.0
208,1286,321.5
326,2219,554.75
197,1251,312.75
195,1301,325.25
177,1243,310.75
51,405,101.25
51,405,101.25
26,190,47.5
140,948,237.0
250,1603,400.75
138,812,203.0
146,811,202.75
291,1675,418.75
1,6,1.5
1,184,46.0
45,243,60.75
15,65,16.25
28,156,39.0
14,65,16.25
16,69,17.25
36,172,43.0
19,90,22.5
299,1565,391.25
68,388,97.0
87,558,139.5
77,440,110.0
154,764,191.0
65,367,91.75
23,123,30.75
24,132,33.0
202,1217,304.25
165,1064,266.0
88,464,116.0
17,141,35.25
1,8,2.0
512,2558,639.5
65,365,91.25
279,1615,403.75
326,2111,527.75
11,79,19.75
7,47,11.75
189,1152,288.0
118,753,188.25
421,2709,677.25
164,1095,273.75
47,231,57.75
25,134,33.5
54,283,70.75
77,402,100.5
70,363,90.75
58,307,76.75
54,275,68.75
65,361,90.25
26,142,35.5
60,340,85.0
35,205,51.25
64,330,82.5
148,710,177.5
34,227,56.75
4,23,5.75
6,30,7.5
14,83,20.75
8,34,8.5
18,109,27.25
1,2,0.5
17,114,28.5
6,26,6.5
142,924,231.0
273,1592,398.0
148,939,234.75
59,362,90.5
7,32,8.0
18,104,26.0
101,662,165.5
104,684,171.0
166,1113,278.25
198,1423,355.75
241,1695,423.75
92,705,176.25
165,1025,256.25
481,3381,845.25
194,1273,318.25
245,1378,344.5
165,866,216.5
82,578,144.5
19,111,27.75
203,1102,275.5
36,199,49.75
201,1181,295.25
241,1490,372.5
219,1344,336.0
5,25,6.25
12,70,17.5
43,286,71.5
103,715,178.75
66,403,100.75
32,216,54.0
56,379,94.75
59,377,94.25
87,582,145.5
180,1344,336.0
43,223,55.75
301,1679,419.75
332,1999,499.75
380,2091,522.75
165,1031,257.75
43,232,58.0
30,194,48.5
239,1324,331.0
203,1389,347.25
191,1330,332.5
24,152,38.0
209,1286,321.5
7,34,8.5
200,1030,257.5
4,21,5.25
229,1207,301.75
101,377,94.25
1,5,1.25
160,1117,279.25
2,20,5.0
382,2455,613.75
279,1782,445.5
336,1927,481.75
31,156,39.0
67,389,97.25
169,1166,291.5
225,1545,386.25
28,179,44.75
378,2020,505.0
158,963,240.75
184,1165,291.25
200,1205,301.25
182,1069,267.25
170,1087,271.75
333,1884,471.0
167,1117,279.25
2,5,1.25
108,660,165.0
38,239,59.75
155,1000,250.0
36,213,53.25
403,2281,570.25
403,2281,570.25
274,1660,415.0
56,302,75.5
231,1400,350.0
259,1501,375.25
97,555,138.75
11,66,16.5
96,592,148.0
4,39,9.75
63,474,118.5
307,2102,525.5
182,1044,261.0
251,1595,398.75
173,1189,297.25
239,1528,382.0
73,409,102.25
310,1688,422.0
51,330,82.5
178,992,248.0
93,739,184.75
181,988,247.0
192,1055,263.75
46,238,59.5
39,252,63.0
58,480,120.0
44,259,64.75
72,479,119.75
1,5,1.25
25,148,37.0
3,7,1.75
10,46,11.5
28,174,43.5
10,46,11.5
88,520,130.0
9,54,13.5
22,110,27.5
184,991,247.75
89,489,122.25
26,126,31.5
141,821,205.25
162,1246,311.5
63,495,123.75
317,1922,480.5
128,744,186.0
93,585,146.25
28,146,36.5
13,69,17.25
119,856,214.0
87,507,126.75
77,479,119.75
101,504,126.0
214,1324,331.0
178,1009,252.25
146,903,225.75
